Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HT_Code,AT_Code,Outcome,GoalDifference,HomeShotEfficiency,AwayShotEfficiency,HomePossessionProxy,AwayPossessionProxy,total_goals
SP1,2011-03-20,Santander,Sociedad,2,1,H,1,0,H,16,11,3,5,18,14,5,5,1,2,0,0,29,31,1,1,0.12,0.09,3,2,3
SP1,2011-03-20,Sp Gijon,Almeria,1,0,H,1,0,H,9,15,4,5,18,24,0,3,3,3,0,0,32,1,1,1,0.11,0.0,-9,-6,1
SP1,2011-03-20,Valencia,Sevilla,0,1,A,0,0,D,26,23,9,10,14,13,9,6,2,1,0,0,34,30,-1,-1,0.0,0.04,21,16,1
SP1,2011-02-04,Getafe,Valencia,2,4,A,1,0,H,13,12,6,5,11,11,7,7,1,2,0,0,12,34,-1,-2,0.15,0.33,9,8,6
SP1,2011-02-04,Real Madrid,Sp Gijon,0,1,A,0,0,D,33,4,13,1,17,14,10,1,4,3,0,0,27,32,-1,-1,0.0,0.25,26,-9,1
SP1,2011-02-04,Villarreal,Barcelona,0,1,A,0,0,D,7,10,3,6,10,14,3,8,2,4,0,0,37,4,-1,-1,0.0,0.1,0,4,1
SP1,2011-03-04,Espanol,Santander,1,2,A,1,0,H,8,7,4,5,11,27,6,2,1,3,0,0,11,29,-1,-1,0.12,0.29,3,-18,3
SP1,2011-03-04,La Coruna,Mallorca,2,1,H,0,1,A,16,4,5,2,14,17,6,1,3,1,0,1,18,23,1,1,0.12,0.25,8,-12,3
SP1,2011-03-04,Levante,Malaga,3,1,H,2,0,H,9,18,5,4,29,7,2,8,5,4,0,0,21,22,1,2,0.33,0.06,-18,19,4
SP1,2011-03-04,Osasuna,Ath Madrid,2,3,A,1,1,D,15,12,7,6,21,11,3,4,4,2,1,0,26,3,-1,-1,0.13,0.25,-3,5,5
SP1,2011-03-04,Sevilla,Zaragoza,3,1,H,1,0,H,20,15,10,5,12,19,8,5,1,4,0,0,30,39,1,2,0.15,0.07,16,1,4
SP1,2011-03-04,Sociedad,Hercules,1,3,A,0,0,D,19,13,5,8,13,14,9,5,2,5,0,0,31,16,-1,-2,0.05,0.23,15,4,4
SP1,2011-04-04,Almeria,Ath Bilbao,1,3,A,1,1,D,18,14,6,7,8,10,8,7,1,1,0,0,1,2,-1,-2,0.06,0.21,18,11,4
SP1,2011-09-04,Ath Bilbao,Real Madrid,0,3,A,0,1,A,12,7,2,2,13,10,8,1,3,5,0,0,2,27,-1,-3,0.0,0.43,7,-2,3
SP1,2011-09-04,Barcelona,Almeria,3,1,H,0,0,D,14,2,4,1,7,5,8,4,3,3,0,0,4,1,1,2,0.21,0.5,15,1,4
SP1,2011-09-04,Mallorca,Sevilla,2,2,D,2,1,H,10,7,3,3,10,6,5,5,3,3,0,0,23,30,0,0,0.2,0.29,5,6,4
SP1,2011-10-04,Ath Madrid,Sociedad,3,0,H,2,0,H,21,7,13,4,16,7,10,7,2,1,0,0,3,31,1,3,0.14,0.0,15,7,3
SP1,2011-10-04,Hercules,Espanol,0,0,D,0,0,D,8,3,3,1,11,8,4,2,2,2,0,0,16,11,0,0,0.0,0.0,1,-3,0
SP1,2011-10-04,Malaga,La Coruna,0,0,D,0,0,D,8,5,1,2,12,7,6,2,4,3,0,1,22,18,0,0,0.0,0.0,2,0,0
SP1,2011-10-04,Santander,Levante,1,1,D,1,0,H,14,6,6,2,10,9,6,3,3,2,0,0,29,21,0,0,0.07,0.17,10,0,2
SP1,2011-10-04,Sp Gijon,Osasuna,1,0,H,0,0,D,9,7,5,4,2,13,1,6,1,2,0,0,32,26,1,1,0.11,0.0,8,0,1
SP1,2011-10-04,Valencia,Villarreal,5,0,H,1,0,H,17,7,12,4,10,7,14,5,1,2,0,0,34,37,1,5,0.29,0.0,21,5,5
SP1,2011-11-04,Zaragoza,Getafe,2,1,H,2,1,H,11,14,7,5,23,12,2,9,2,3,0,0,39,12,1,1,0.18,0.07,-10,11,3
SP1,2011-04-16,Almeria,Valencia,0,3,A,0,0,D,8,18,1,7,9,10,5,9,0,1,0,0,1,34,-1,-3,0.0,0.17,4,17,3
SP1,2011-04-16,Getafe,Sevilla,1,0,H,0,0,D,13,2,6,2,20,16,5,2,3,4,0,0,12,30,1,1,0.08,0.0,-2,-12,1
SP1,2011-04-16,Malaga,Mallorca,3,0,H,2,0,H,19,14,8,8,12,17,14,2,2,3,0,0,22,23,1,3,0.16,0.0,21,-1,3
SP1,2011-04-16,Real Madrid,Barcelona,1,1,D,0,0,D,13,11,6,6,22,14,8,0,2,5,1,0,27,4,0,0,0.08,0.09,-1,-3,2
SP1,2011-04-17,Espanol,Ath Madrid,2,2,D,1,1,D,10,19,3,4,12,15,1,9,2,5,0,0,11,3,0,0,0.2,0.11,-1,13,4
SP1,2011-04-17,La Coruna,Santander,2,0,H,1,0,H,12,16,4,5,8,9,7,6,2,2,0,0,18,29,1,2,0.17,0.0,11,13,2
SP1,2011-04-17,Levante,Hercules,2,1,H,2,0,H,16,9,5,3,15,25,7,4,4,3,0,0,21,16,1,1,0.12,0.11,8,-12,3
SP1,2011-04-17,Osasuna,Ath Bilbao,1,2,A,0,0,D,6,6,2,2,19,15,4,3,3,4,1,1,26,2,-1,-1,0.17,0.33,-9,-6,3
SP1,2011-04-17,Sociedad,Sp Gijon,2,1,H,1,0,H,13,12,4,6,10,23,4,6,3,2,0,0,31,32,1,1,0.15,0.08,7,-5,3
SP1,2011-04-18,Villarreal,Zaragoza,1,0,H,0,0,D,10,17,6,8,12,24,4,3,2,4,0,1,37,39,1,1,0.1,0.0,2,-4,1
